date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:43	15808/15808	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ec54e497d8bb87ff3cad7d58ad7cf8ed%22	https://findrealestate.com/_next/static/chunks/6047-73eb21c8f9a95c59.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/6047-73eb21c8f9a95c59dbbc.js	(from https://findrealestate.com/)
22:49:44	13059/13059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfe95797bfb975f90f18b782122bca44%22	https://findrealestate.com/_next/static/chunks/1324-b66115da95039158.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/1324-b66115da95039158dbbc.js	(from https://findrealestate.com/)
22:49:45	16685/16685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1808630fb8c4dab7d1856e3517142db%22	https://findrealestate.com/_next/static/chunks/8314-504955a247f89bc8.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/8314-504955a247f89bc8dbbc.js	(from https://findrealestate.com/)
22:49:46	4991/4991	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f55b616c62b039b8ab7f2c29ae09d679%22	https://findrealestate.com/_next/static/chunks/app/error-d0ab7092d8582c2b.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/app/error-d0ab7092d8582c2bdbbc.js	(from https://findrealestate.com/)
22:49:47	2580/2580	---MCZ	200	added ('OK')	application/javascript	etag:W/%227819a37d030875f58a3607fb2ab85aa1%22	https://findrealestate.com/_next/static/chunks/app/(home)/layout-d9e6b5e6f0b488b4.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/app/(home)/layout-d9e6b5e6f0b488b4dbbc.js	(from https://findrealestate.com/)
22:49:48	8820/8820	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a7b5aa0a562c7badd3bc038c8eac5e8%22	https://findrealestate.com/_next/static/chunks/app/(dark)/not-found-1bed8f4dd1c20c55.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/app/(dark)/not-found-1bed8f4dd1c20c55dbbc.js	(from https://findrealestate.com/)
22:49:49	255/255	---M--	200	added ('OK')	application/javascript	etag:%22f72745d5dc9977b4fcef9bcf0466fd53%22	https://findrealestate.com/_next/static/chunks/app/(join-pro)/layout-56a1c9ec4197f56f.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/app/(join-pro)/layout-56a1c9ec4197f56fdbbc.js	(from https://findrealestate.com/)
22:49:50	15419/15419	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a810db2dd9bf88ce87af4f78837bfd8%22	https://findrealestate.com/_next/static/chunks/8527-58232efc355e0f18.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/8527-58232efc355e0f18dbbc.js	(from https://findrealestate.com/)
22:49:51	58042/58042	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4f4497ebf19396be3b5d8249c5ba873%22	https://findrealestate.com/_next/static/chunks/8276-6483413b5a32d4ba.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/8276-6483413b5a32d4badbbc.js	(from https://findrealestate.com/)
22:49:52	81492/81492	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d0fa409a226554a51473b6920cb81fb3%22	https://findrealestate.com/_next/static/chunks/7300-de0e9bdc43841de6.js?dpl=dpl_EeerAmXczdYYq4WSGYESdayZ8Ruj	C:/My%20Web%20Sites/real%20state%201/findrealestate.com/_next/static/chunks/7300-de0e9bdc43841de6dbbc.js	(from https://findrealestate.com/)
